iata_code,latitude_deg,longitude_deg,iso_region
LMI,-3.476839511,142.0412922,PG-SAN
LSJ,-5.3604,147.0177,PG-MPM
AYM,24.467,54.6103,AE-AZ
MRM,-9.1908,147.6219,PG-CPM
OBM,-7.74,147.59,PG-MPL
MYX,-7.211666667,146.0193611,PG-MPL
MAG,-5.207079887,145.7890015,PG-MPM
HGU,-5.828212,144.299412,PG-WHM
MXK,-6.471666667,147.4411389,PG-MPL
MPG,-6.532222222,147.6511667,PG-MPL
GUV,-6.280859,142.420775,PG-WPD
MDU,-6.14774,143.656998,PG-SHM
MAS,-2.06189,147.423996,PG-MRL
MLQ,-8.071388889,146.1554722,PG-GPK
MQO,-8.709166667,142.6497222,PG-WPD
MXH,-6.363329887,143.2380066,PG-SHM
MIS,-10.6892004,152.8379974,PG-MBA
MKN,-4.023430556,153.6572778,PG-NIK
MWG,-6.9736,145.8849,PG-EHG
MPU,-2.811388889,151.9911111,PG-NIK
NKN,-5.837,146.4533,PG-MPM
KEX,-7.538888889,145.905,PG-GPK
NDN,-9.143555556,147.68425,PG-CPM
AUI,-1.460555556,143.0647222,PG-MRL
GBF,-6.567778,144.703058,PG-CPK
MFO,-5.577778,151.792333,PG-EBR
NUG,-3.4075,154.7383,PG-NSB
NDI,-9.47375,148.3294167,PG-NPP
KSB,-6.3819,146.9859,PG-MPL
KDP,-5.840611111,143.5072222,PG-EPW
NMN,-6.32183,145.070667,PG-CPK
BXZ,-5.7243,147.8667,PG-MPL
UKU,-3.676651,142.484334,PG-SAN
ATN,-3.6695,152.438,PG-NIK
NBA,-6.2412,145.2424,PG-CPK
LAE,-6.569803,146.725977,PG-MPL
OBX,-7.590622421,141.3242626,PG-WPD
KGB,-6.2239,147.2152,PG-MPL
OKV,-5.556666667,141.0327778,PG-WPD
OGE,-6.46675,147.3641667,PG-MPL
OKP,-5.2261,142.2259,PG-SAN
HOC,-7.3984,145.8827,PG-GPK
KQL,-5.731166667,144.846,PG-JWK
OSE,-7.827777778,147.0806389,PG-MPL
KOM,-6.0682,142.8598,PG-HLA
KSP,-8.450716,147.209195,PG-CPM
